Parallel writer running on cpu 23
mean: 89.18, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.11, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 88.88, min: 86, 50th: 88, 90th: 90, 99th: 98, max: 99
mean: 89.53, min: 88, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.01, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 98
mean: 88.82, min: 88, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.02, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.05, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.14, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 88.70, min: 87, 50th: 88, 90th: 90, 99th: 96, max: 97
mean: 88.82, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.14, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 98
mean: 88.96, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 94
mean: 89.24, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.27, min: 87, 50th: 88, 90th: 91, 99th: 98, max: 99
mean: 88.96, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.90, min: 85, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.06, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 98
mean: 88.89, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 95
mean: 88.91, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.60, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 97
mean: 89.38, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.55, min: 87, 50th: 88, 90th: 89, 99th: 95, max: 97
mean: 89.35, min: 85, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.38, min: 86, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.34, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.06, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 89.02, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 99
mean: 89.02, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.93, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 153
mean: 89.58, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 88.90, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 88.87, min: 87, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.42, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 88.36, min: 87, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.12, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.26, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.26, min: 85, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.25, min: 87, 50th: 89, 90th: 91, 99th: 95, max: 98
mean: 89.02, min: 86, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 88.99, min: 86, 50th: 88, 90th: 91, 99th: 97, max: 97
mean: 89.17, min: 87, 50th: 88, 90th: 91, 99th: 99, max: 135
mean: 88.74, min: 85, 50th: 88, 90th: 91, 99th: 96, max: 98
mean: 89.02, min: 86, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.46, min: 87, 50th: 89, 90th: 91, 99th: 98, max: 98
mean: 89.57, min: 87, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 88.78, min: 86, 50th: 88, 90th: 91, 99th: 96, max: 97
mean: 89.02, min: 86, 50th: 89, 90th: 90, 99th: 98, max: 98
mean: 89.49, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 95
mean: 89.22, min: 86, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.14, min: 86, 50th: 89, 90th: 90, 99th: 99, max: 100
mean: 89.45, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 99
mean: 89.13, min: 88, 50th: 88, 90th: 91, 99th: 95, max: 96
mean: 89.25, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 96
mean: 89.53, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 95
mean: 89.43, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 98
mean: 89.46, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 95
mean: 88.84, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.07, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 98
mean: 88.32, min: 86, 50th: 88, 90th: 89, 99th: 96, max: 97
mean: 89.04, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 89.27, min: 88, 50th: 89, 90th: 91, 99th: 95, max: 96
mean: 89.34, min: 87, 50th: 89, 90th: 91, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 89.27, min: 87, 50th: 88, 90th: 91, 99th: 97, max: 98
mean: 89.25, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.05, min: 88, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.98, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 95
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 94, max: 98
mean: 89.46, min: 88, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 96
mean: 88.33, min: 86, 50th: 88, 90th: 89, 99th: 91, max: 96
mean: 89.20, min: 87, 50th: 89, 90th: 91, 99th: 94, max: 96
mean: 89.06, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 96
mean: 89.59, min: 87, 50th: 90, 90th: 91, 99th: 97, max: 98
mean: 89.67, min: 87, 50th: 90, 90th: 91, 99th: 95, max: 99
mean: 89.58, min: 87, 50th: 90, 90th: 91, 99th: 94, max: 94
mean: 89.47, min: 86, 50th: 90, 90th: 91, 99th: 96, max: 97
mean: 89.03, min: 87, 50th: 89, 90th: 90, 99th: 96, max: 97
mean: 88.99, min: 87, 50th: 89, 90th: 90, 99th: 95, max: 96
mean: 89.47, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.14, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 89.13, min: 87, 50th: 89, 90th: 90, 99th: 97, max: 97
mean: 89.29, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 97
mean: 89.28, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
mean: 89.25, min: 87, 50th: 89, 90th: 91, 99th: 97, max: 98
